method,fps
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,0.0
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,46.082950592041016
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,60.60606002807617
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,59.52381134033203
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,54.64480972290039
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,52.356021881103516
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,60.240966796875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,61.7283935546875
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.5
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,42.37288284301758
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,57.47126770019531
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,56.81818389892578
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,59.88024139404297
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,62.11180114746094
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
native,60.975608825683594
sr,60.975608825683594
sr,60.975608825683594
sr,60.975608825683594
sr,60.975608825683594
sr,60.975608825683594
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,19.45525360107422
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,11.507479667663574
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,10.649626731872559
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.337867736816406
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.19820785522461
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,11.481056213378906
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.373444557189941
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.245901107788086
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,10.060361862182617
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,8.5984525680542
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,9.00900936126709
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,8.045052528381348
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,10.235414505004883
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.27643871307373
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,9.765625
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.70663833618164
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,10.976947784423828
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,14.18439769744873
sr,10.22494888305664
sr,10.22494888305664
sr,10.22494888305664
sr,10.22494888305664
